PG.ProteinGroups,PG.Genes,PG.ProteinDescriptions,[1] 20210208_KLOF_DIA_FAIMS_35V_d0_1.raw.PG.Quantity,[2] 20210208_KLOF_DIA_FAIMS_35V_d0_2.raw.PG.Quantity,[3] 20210208_KLOF_DIA_FAIMS_35V_d0_3.raw.PG.Quantity,[4] 20210208_KLOF_DIA_FAIMS_35V_d0_4.raw.PG.Quantity,[5] 20210208_KLOF_DIA_FAIMS_35V_d0_5.raw.PG.Quantity,[6] 20210208_KLOF_DIA_FAIMS_35V_d0_6.raw.PG.Quantity,[7] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_1.raw.PG.Quantity,[8] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_2.raw.PG.Quantity,[9] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_3.raw.PG.Quantity,[10] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_4.raw.PG.Quantity,[11] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_5.raw.PG.Quantity,[12] 20210208_KLOF_N2_DIA_FAIMS_35V_d28_6.raw.PG.Quantity
A0A087X020;Q9Y3A5,SBDS,Ribosome maturation protein SBDS,21952.46875,16729.25,18268.1543,17970.15039,17513.05078,15945.20801,40904.41797,17411.47461,17929.59961,20630.48438,16497.84766,18927.7793
A0A087X054;A0A494C039;Q9Y4L1,HYOU1,Hypoxia up-regulated protein 1,521285.1563,572869.9375,561620.875,546430.25,541570.0625,579859.375,766956.875,826900.8125,823774,865851.3125,801601.5625,806251
A0A087X060;G3V2W9;Q56P03,EAPP,E2F-associated phosphoprotein;E2F-associated phosphoprotein (Fragment);E2F-associated phosphoprotein,653.1703491,NaN,Filtered,428.188446,368.2774963,Filtered,Filtered,Filtered,Filtered,Filtered,2665.016113,Filtered
A0A087X091;Q9H1Z4,WDR13,WD repeat-containing protein 13 (Fragment);WD repeat-containing protein 13,8840.704102,4102.98291,2968.475098,4336.214844,2126.758301,3681.974365,31768.45313,33143.09766,33055.46094,29184.23242,31972.95508,31807.26563
A0A087X0B7;H7C3C7;Q5SQN1,SNAP47,Synaptosomal-associated protein 47;Synaptosomal-associated protein 47 (Fragment);Synaptosomal-associated protein 47,13130.42578,8558.112305,9995.730469,14162.66016,11390.71094,11083.02051,9851.480469,11449.24414,10783.66602,10992.18652,6273.899902,6778.432617
A0A087X0D5;E9PKT6;P09668,CTSH,Pro-cathepsin H;Pro-cathepsin H (Fragment);Pro-cathepsin H,7368.82666,5671.092285,7729.321289,5756.104004,8124.527344,6779.032227,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X0H7;Q8NEL9,DDHD1,Phospholipase DDHD1,128.327301,NaN,163.9212341,Filtered,NaN,Filtered,2082.825928,1944.068604,833.8691406,2823.665527,2723.904785,1717.297607
A0A087X0H9,RBM26,RNA-binding protein 26,5401.564941,2158.692627,2779.852051,3985.724121,2426.332764,3493.393799,16460.2793,22555.98242,4442.043457,Filtered,3392.847412,6046.65332
A0A087X0I6;B4DIB3;Q9P0L2,MARK1,Non-specific serine/threonine protein kinase;Non-specific serine/threonine protein kinase;Serine/threonine-protein kinase MARK1,2040.368774,2119.817871,2396.564697,2504.453613,2593.633789,2188.459229,22194.55469,21654.02148,26347.22656,25381.2168,25157.45898,23313.33203
A0A087X0I9;Q04759,PRKCQ,Protein kinase C;Protein kinase C theta type,7500.777344,6519.111328,5866.975098,8406.558594,4985.05127,7908.59082,Filtered,Filtered,Filtered,Filtered,Filtered,542.9666138
A0A087X0K4;Q5TAH7;Q7Z408,CSMD2,"CUB and sushi domain-containing protein 2;CUB and Sushi multiple domains 2, isoform CRA_c;CUB and sushi domain-containing protein 2",984.5083008,438.0511475,1169.662964,1097.70166,588.3659668,635.1606445,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X0K9,TJP1,Tight junction protein ZO-1,1314.613281,966.1765137,275.5967712,396.2945251,973.2780151,1004.698486,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X0L7;E7EVY0;J3KNA0;Q15070,OXA1L,Mitochondrial inner membrane protein OXA1L,34349.90625,36322.92578,35833.13281,31523.04883,33940.15625,33887.38672,27608.9043,25997.54102,29496.26172,27857.80273,23906.11523,24062.57617
A0A087X0M4;Q9BWU0,SLC4A1AP,Kanadaptin,9210.44043,5561.758301,7971.075195,6614.401367,6971.129395,6672.80957,3260.384766,1792.591675,2590.864014,1699.727295,2319.505859,1297.445313
A0A087X0M6;A8MQ14,ZNF850,Zinc finger protein 850,3337.549561,1285.573242,7660.333496,505.5052795,7185.576172,7680.97998,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X0M8;C9J905;C9JH37;C9JW79;O00533,CHL1,Neural cell adhesion molecule L1-like protein;Neural cell adhesion molecule L1-like protein (Fragment);Neural cell adhesion molecule L1-like protein (Fragment);Neural cell adhesion molecule L1-like protein (Fragment);Neural cell adhesion molecule L1-like protein,234.3192596,659.1640015,Filtered,Filtered,Filtered,Filtered,5604.990234,4327.856934,3776.829346,2409.753418,7110.359863,4321.710449
A0A087X0N3,NOL4L,Nucleolar protein 4-like,3908.248535,3652.021729,3373.357178,3723.873047,3518.496338,3021.252686,11697.20703,10608.16406,9858.791016,14310.08203,16936.97461,13176.19824
A0A087X0P9;Q96CW6,SLC7A6OS,Probable RNA polymerase II nuclear localization protein SLC7A6OS (Fragment);Probable RNA polymerase II nuclear localization protein SLC7A6OS,24164.38867,2952.207764,3207.704102,4966.67041,6412.552734,4717.367188,NaN,Filtered,Filtered,Filtered,Filtered,24.33292961
A0A087X0Q1;Q7Z739,YTHDF3,YTH domain-containing family protein 3,203975.4063,226715.5156,203220.5781,226219.5156,207733.3594,211276.7188,99834.53906,101561.6641,105116.125,91190.6875,111155.9766,97739.47656
A0A087X0Q9;Q9BVL4,SELENOO,"Protein adenylyltransferase SelO, mitochondrial;Protein adenylyltransferase SelO, mitochondrial",3615.212158,2694.201172,4017.223145,3244.126221,3106.408203,2451.473145,1203.70874,38.0134697,275.8074341,678.9003906,2213.883545,1205.136963
A0A087X0R0;O15550,KDM6A,Lysine-specific demethylase 6A,17403.83203,10465.44629,12917.35645,16839.20703,11533.11719,12554.2002,8565.294922,3611.716797,11331.01465,2401.145996,10203.28027,9004.517578
A0A087X0R6;Q9UMY4,SNX12,Sorting nexin-12,25214.88086,36539.51172,33712.19141,18536.88867,37146.3125,29489.12891,44533.98438,35430.4375,31338.38672,52853.99609,74418.57031,48821.44531
A0A087X0S5;P12109,COL6A1,Collagen alpha-1(VI) chain,16841.31055,14023.73242,14454.55273,16641.37109,14963.69043,12934.14648,12343.64746,11567.72363,11961.29297,12107.92969,11556.35156,11093.23535
A0A087X0T8;A0A0A0MTJ8,CADM1,Cell adhesion molecule 1;Cell adhesion molecule 1 (Fragment),5017.760742,3649.9729,5849.024414,6349.932617,6261.051758,5591.983887,225719.1094,210221.4219,189497.5938,219731.8438,257889.4531,216039.3438
A0A087X0U0;Q5T911;Q9NPJ6,MED4,Mediator of RNA polymerase II transcription subunit 4 (Fragment);Mediator of RNA polymerase II transcription subunit 4 (Fragment);Mediator of RNA polymerase II transcription subunit 4,12302.22363,10446.76465,8500.731445,7408.884766,8792.402344,9441.698242,1835.279907,678.8731079,Filtered,677.375,2318.542969,1225.222778
A0A087X0W8;E9PKH5;Q04206;Q2TAM5,RELA,Transcription factor p65;Transcription factor p65 (Fragment);Transcription factor p65;RELA protein,5994.647461,7048.664551,7804.802246,7013.736328,6565.985352,5047.719238,11890.72559,12098.9873,12891.81055,11584.36816,12810.12988,14142.94336
A0A087X0Y2;A0A087X248;A0A087X2I9;A0A096LPD8;F5H3N7;F5H8B4;O14607,UTY,Histone demethylase UTY,15056.7627,4765.84082,9336.442383,10720.4375,8924.212891,10213.53125,853.6699829,2176.94043,821.208374,1959.599731,1414.446289,Filtered
A0A087X117;A0A0G2JN29;Q15155,NOMO1,Nodal modulator 1,399227.5625,396583.625,390010.2188,380098.9375,393359.6563,380372.5,258661.3906,239612.4531,242519.8906,264120.6875,226060.7344,238788.2813
A0A087X128;Q9P2J2,IGSF9,Protein turtle homolog A,2195.859375,1197.549561,Filtered,1758.748657,1202.981445,1006.115845,Filtered,1.774584532,Filtered,Filtered,Filtered,Filtered
A0A087X142;A6NFQ9;A6NMH6;F8W8I8;Q92599,SEPTIN8,Septin-8,27609.38281,24992.7793,26252.37305,26566.23828,26372.42773,26158.0625,39162.70313,34793.83594,33625.93359,36340.17188,30861.40234,37413
A0A087X152;O95185,UNC5C,Netrin receptor UNC5C,1903.692139,3175.949951,Filtered,960.6309814,983.934082,1776.767578,60229.9375,57018.8125,44727.55078,54413.22266,41103.60156,56227.06641
A0A087X165;Q9C0H9,SRCIN1,SRC kinase-signaling inhibitor 1;SRC kinase signaling inhibitor 1,1233.625977,3896.854248,12897.56348,516.6346436,1393.092407,205.0470276,33816.80078,32872.55078,35381.39063,43076.02734,33788.24219,37181.91797
A0A087X169;B0QZ72;Q5T6S3;X6RER8,PHF19,PHD finger protein 19;PHD finger protein 19 (Fragment);PHD finger protein 19;PHD finger protein 19 (Fragment),NaN,NaN,303.4277344,1245.172363,692.2189941,345.1151123,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X1B2;B9A018;Q53GS9,USP39,U4/U6.U5 tri-snRNP-associated protein 2,124477.2422,133104.1094,136613.9375,145073.2344,122298.5078,134709.4688,59328.47656,63941.40625,79901.38281,56613.17969,56756.375,57815.09766
A0A087X1D0;H0YE23;P25942,CD40,"CD40 antigen (TNF receptor superfamily member 5), isoform CRA_c;Tumor necrosis factor receptor superfamily member 5 (Fragment);Tumor necrosis factor receptor superfamily member 5",2431.374268,2340.921631,3740.166016,1993.423218,2276.015137,2818.631836,1.541757584,Filtered,1.614774823,1.668646574,Filtered,1.545576572
A0A087X1E4;P53365,ARFIP2,Arfaptin-2,5352.907715,1912.966553,3018.287842,3054.232666,2653.225586,2784.86499,1418.294556,8.998293877,Filtered,3967.988037,2431.60791,1848.740967
A0A087X1G7;O60613,SELENOF,Selenoprotein F,13220.3252,4458.23584,4662.868164,4686.557129,6099.883301,5618.273926,4724.108887,6446.685547,4544.135742,2219.486572,5594.639648,2170.810059
A0A087X1H5;Q15057,ACAP2,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2;Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",32017.47461,32012.25781,30416.91602,33597.97266,29101.42578,30504.23828,8695.759766,6626.805176,7383.33252,9065.033203,4744.813477,9833.744141
A0A087X1I5;M0QY39;Q68DY1,ZNF626,Zinc finger protein 626;Zinc finger protein 626 (Fragment);Zinc finger protein 626,1108.834839,407.1498108,871.1454468,962.0189209,845.9874878,410.941864,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X1I6;Q8WUX1,SLC38A5,Sodium-coupled neutral amino acid transporter 5,4380.48584,1258.037598,2460.680176,4076.735596,1202.740601,2567.011963,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X1K6;Q9Y2Y9,KLF13,Krueppel-like factor 13,6088.825684,5472.14502,6748.389648,5213.484863,4319.930664,5593.317383,20562.22656,Filtered,Filtered,Filtered,Filtered,18575.11914
A0A087X1K9;E5RGR0;O75608,LYPLA1,Acyl-protein thioesterase 1;Acyl-protein thioesterase 1 (Fragment);Acyl-protein thioesterase 1,60540.01563,28964.56055,33165.14844,49906.13672,42783.11719,25939.18359,50012.76563,68715.3125,26200.74023,59770.05078,65733.76563,47137.88672
A0A087X1N0;Q9H3C7,GGNBP2,Gametogenetin-binding protein 2 (Fragment);Gametogenetin-binding protein 2,10728.37305,6531.289551,10537.94141,6509.183594,8766.275391,8566.455078,4085.10083,4633.987305,4286.040527,Filtered,6140.155762,4963.580078
A0A087X1P3;C9IYE1;F8W8P5;Q86UW7,CADPS2,Calcium-dependent secretion activator 2,2081.869873,1589.964233,1805.565186,2072.976807,1592.789551,1713.028442,Filtered,Filtered,5.30896616,Filtered,Filtered,Filtered
A0A087X1S6;B5MDU3;O95397;Q96JA3,PLEKHA8;PLEKHA8;PLEKHA8P1;PLEKHA8,Pleckstrin homology domain-containing family A member 8;Pleckstrin homology domain-containing family A member 8;Putative protein PLEKHA9;Pleckstrin homology domain-containing family A member 8,12623.63184,6809.152344,9017.546875,13361.64746,11461.55566,9582.445313,15505.21094,20128.08594,18196.76367,14666.81641,22460.65625,16580.00391
A0A087X1T2;G3V0I8;Q12772,SREBF2,"Sterol regulatory element-binding protein 2;Sterol regulatory element binding transcription factor 2, isoform CRA_b;Sterol regulatory element-binding protein 2",8497.259766,2838.297363,1235.868652,7783.31543,3245.828369,4084.766602,29.88206482,Filtered,Filtered,2392.876953,45.8131485,2026.111328
A0A087X1U1;E7EUN2;F5GXM9;Q9UPQ3,AGAP1,"Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1;Arf-GAP with GTPase, ANK repeat and PH domain-containing protein 1",5154.272949,3804.762695,5858.975586,8000.34375,6099.833496,4494.900879,85271.00781,81560.50781,73113.80469,87775.70313,69836.27344,85768.96094
A0A087X1V4;A0A0G2JLQ0;A0A0G2JMB1;A0A0G2JN10;A0A0G2JPH6;C9JFQ0;Q6ISS4,LAIR2,Leukocyte-associated immunoglobulin-like receptor 2 (Fragment);Leukocyte-associated immunoglobulin-like receptor 2 (Fragment);Leukocyte-associated immunoglobulin-like receptor 2 (Fragment);Leukocyte-associated immunoglobulin-like receptor 2 (Fragment);Leukocyte-associated immunoglobulin-like receptor 2;Leukocyte-associated immunoglobulin-like receptor 2 (Fragment);Leukocyte-associated immunoglobulin-like receptor 2,5350.837402,5786.257324,4837.738281,2789.112793,3540.809814,3860.857178,12596.84668,13135.30469,11198.31836,9224.352539,11430.79004,9921.820313
A0A087X1Z1;A0A0G2JPW5;A0A0G2JQX1;A0A0G2JSA7;Q96RT8,TUBGCP5,Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component;Gamma-tubulin complex component 5,105562.2656,70894.02344,78206.69531,105634.8906,90525.375,98269.45313,1019.17981,117.0637665,300.4544067,2305.814697,82.26288605,89.19897461
A0A087X1Z3;Q9UL46,PSME2,Proteasome activator complex subunit 2,27592.01563,17747.24414,20754.91602,14442.26953,14728.46973,5578.688965,10595.68262,9122.189453,3138.488281,7324.787598,20925.74023,16853.25391
A0A087X208;A0A494C0G5;A0A494C1I6;O00468,AGRN,Agrin,132472.7031,118652.5391,125061.6953,136451.9219,124084.4844,121831.5,183328.0469,135429.375,132777.6875,119131.6875,97855.20313,116933.3047
A0A087X210;P56373,P2RX3,P2X purinoceptor;P2X purinoceptor 3,NaN,NaN,Filtered,Filtered,Filtered,Filtered,52095.94141,50545.42578,61814.62891,55569.55078,50709.34375,53766.19922
A0A087X211;Q8TCG1,CIP2A,Protein CIP2A,51408.59766,19673.6875,19902.09961,16472.93555,18421.84961,35591.57031,Filtered,4.801670074,Filtered,22671.99609,Filtered,Filtered
A0A087X256;Q2M389,WASHC4,WASH complex subunit 4,13010.87012,8588.633789,11146.07715,11004.20508,10602.6709,10344.86523,12892.87598,10874.65039,12339.85645,11975.05762,12028.44043,11037.60254
A0A087X294,PAK3,Non-specific serine/threonine protein kinase,846.4689941,2066.205566,1636.342529,564.3392944,615.6513062,499.911499,27226.47656,27645.19141,37965.80469,28865.44531,33366.30859,32163.25586
A0A087X295;Q9NNW5,WDR6,WD repeat-containing protein 6,43914.76953,38225.57422,43767.00391,52917.75,46924.39844,37907.96875,24821.2207,21398.27148,21188.92773,25753.43945,20509.9707,25877.74023
A0A087X2B1;A0A0G2JRA5;A0A0G2JRD1;A0A0G2JSB3;A0A286YEU2;B0QYV1;B0QYY4;B0QYY7;B7Z1U7;F8VR27;F8VZG9;F8VZY7;I3L1D4;J3KNW3;O43251;Q9NWB1;S4R3K7;S4R469,RBFOX1;RBFOX2;RBFOX2;RBFOX2;RBFOX1;RBFOX2;RBFOX2;RBFOX2;RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX1;RBFOX2;RBFOX1;RBFOX2;RBFOX2,RNA binding protein fox-1 homolog 1;RNA-binding protein fox-1 homolog 2 (Fragment);RNA-binding protein fox-1 homolog 2 (Fragment);RNA-binding protein fox-1 homolog 2 (Fragment);RNA-binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 2;RNA-binding protein fox-1 homolog 2 (Fragment);RNA binding protein fox-1 homolog 1;RNA-binding protein fox-1 homolog 1 (Fragment);RNA-binding protein fox-1 homolog 1;RNA-binding protein fox-1 homolog 1 (Fragment);RNA-binding protein fox-1 homolog 1 (Fragment);RNA binding protein fox-1 homolog 1;RNA binding protein fox-1 homolog 2;RNA binding protein fox-1 homolog 1;RNA-binding protein fox-1 homolog 2 (Fragment);RNA-binding protein fox-1 homolog 2 (Fragment),40918.94531,37871.76563,35040.27734,34890.08594,38790.88281,32566.37109,63764.53516,37044.48047,28360.14844,71367.84375,38551.73828,54282.33203
A0A087X2D0;P84103,SRSF3,Serine/arginine-rich-splicing factor 3;Serine/arginine-rich splicing factor 3,88502.07031,248002.3906,243667.6406,182495.2656,264223.4375,256039.2969,211114.6563,205924.1406,317159.9063,219082.2031,250843,209005.9531
A0A087X2D5;Q9BRJ2,MRPL45,"39S ribosomal protein L45, mitochondrial;39S ribosomal protein L45, mitochondrial",25989.57813,28944.59375,29276.16016,26478.42773,28532.83203,29577.13867,20777.28125,21908.34375,25779.48438,19484.28711,21573.62891,19081.07031
A0A087X2D8,SPAG9,C-Jun-amino-terminal kinase-interacting protein 4,1,NaN,NaN,6.343575954,NaN,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A087X2H1;Q9ULT8,HECTD1,E3 ubiquitin-protein ligase HECTD1,98185.125,89681,104390.75,111709.8359,94095.03906,91285.75,31789.99023,29675.29883,22270.15234,28259.47656,34060.56641,26334.43359
A0A087X2I1;P62333,PSMC6,26S proteasome regulatory subunit 10B,400514.3125,392809.5313,371359.5625,399722.0625,446702.6875,409689.9688,403050.125,358308.125,355230.9063,405262.125,394325.9688,411699.75
A0A088AWN2;Q8TBZ3,WDR20,WD repeat-containing protein 20,3660.608887,4099.881348,3668.715576,3373.626465,3951.294678,4118.12793,8308.602539,8106.702637,8185.223145,9274.744141,9290.429688,7199.05957
A0A088AWN3;A0A0A0MSY4;Q9BZ29,DOCK9,Dedicator of cytokinesis protein 9,31129.29688,21815.16992,17740.72852,27450.22656,19045.91211,17417.75977,15931.17969,34870.94922,16501.42578,43237.96875,10961.13867,18767.22656
A0A088AWN8;E7EP87;E9PH27;J3KRH7;J3KS48;J3KT43;J3KTP5;J3QL28;J3QRB0;J3QSD9;Q9UHQ1,NARF,Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor (Fragment);Nuclear prelamin A recognition factor;Nuclear prelamin A recognition factor (Fragment);Nuclear prelamin A recognition factor (Fragment);Nuclear prelamin A recognition factor (Fragment);Nuclear prelamin A recognition factor,7540.538086,5816.648926,7928.722656,8893.12793,6045.261719,7094.977051,Filtered,Filtered,1463.190796,Filtered,2794.046875,Filtered
A0A096LNH6;Q14185,DOCK1,Dedicator of cytokinesis protein 1,22742.77148,21465.65625,20760.31836,24637.26172,21111.02734,18697.96875,4844.684082,4603.35791,10421.57324,7709.422852,7022.014648,7037.805176
A0A096LNM2;Q969U6,FBXW5,F-box/WD repeat-containing protein 5 (Fragment);F-box/WD repeat-containing protein 5,1615.220215,510.7375488,1405.928711,1645.262207,2014.151001,1078.860352,Filtered,701.7368164,801.8618164,Filtered,Filtered,1283.629517
A0A096LNV3;A0A096LP02;Q9Y508,RNF114,E3 ubiquitin-protein ligase RNF114 (Fragment);E3 ubiquitin-protein ligase RNF114;E3 ubiquitin-protein ligase RNF114,147514.7969,140737.0469,133108.0938,136310.9688,152740.2031,136778.625,50369.47656,52926.24609,41277.76953,54071.13672,58094.33594,51838.44141
A0A096LNZ9;A0A096LPJ4;P05161,ISG15,Ubiquitin-like protein ISG15 (Fragment);Ubiquitin-like protein ISG15;Ubiquitin-like protein ISG15,16530.64844,24015.28125,13487.10742,12974.11426,15307.83301,14153.67773,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A096LP01;A0A096LPB2,SMIM26,Small integral membrane protein 26,18660.79492,14333.9707,15471.95117,17536.50195,17015.84375,16557.67383,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A096LP22;Q86Y79,PTRH1,Probable peptidyl-tRNA hydrolase (Fragment);Probable peptidyl-tRNA hydrolase,16512.31445,12467.53711,13813.65918,11563.04102,12000.23438,12929.29492,24004.34375,21626.70508,14712.58984,23437.64648,24845.98828,21314.49609
A0A096LP25,AAK1,AP2-associated protein kinase 1 (Fragment),45480.96094,44324.74219,46768.85547,50050.96484,44113.51172,42339.48828,13440.54883,9316.34375,5184.329102,8045.993164,6971.741211,11337.56738
A0A096LP39;A0A140TA46,RPP21,Ribonuclease P protein subunit p21,15749.91602,16783.40039,4872.544922,22933.20508,20485.63867,4540.977051,11611.97949,6756.485352,258.901062,7726.632324,5807.12793,452.7217102
A0A096LPI6,,Utp12 domain-containing protein (Fragment),53399.55859,37703.59766,43777.92578,45771.98828,48957.22266,38913.73047,66268.39844,60250.08594,45975.83984,70218.45313,59379.49609,66035.98438
A0A0A0MQR2;A2A2L5;Q9BY42,RTF2,Replication termination factor 2;Replication termination factor 2 (Fragment);Replication termination factor 2,37229.5625,34114.75,32984.34375,35148.88672,34294.42969,31203.52539,13903.76953,16208.65332,22407.60547,16764.29102,17016.64258,15386.53809
A0A0A0MQS0;A8MW92;F8W9L8,PHF20L1,PHD finger protein 20-like protein 1,7409.756348,2201.812012,6345.38916,3069.014648,2574.95874,1825.202759,4373.539063,5217.59082,6554.676758,5339.330078,5022.88916,4932.162598
A0A0A0MQS1;Q53H96,PYCR3,Pyrroline-5-carboxylate reductase;Pyrroline-5-carboxylate reductase 3,10231.37695,8381.342773,8355.224609,9424.206055,7854.297363,9046.536133,5984.777344,5125.086914,4068.247559,6304.806641,5604.797852,6261.958008
A0A0A0MQT0;P09455,RBP1,"Retinol binding protein 1, cellular;Retinol-binding protein 1",35384.21484,30976.2207,33295.38672,24799.14453,34089.98047,26812.72656,417871.5625,392697,307433.25,495591.625,310687.1875,410586.1563
A0A0A0MQU0;Q9BV38;U3KQC1,WDR18,WD repeat-containing protein 18 (Fragment);WD repeat-containing protein 18;WD repeat-containing protein 18 (Fragment),19962.42188,18069.43555,17717.9082,21708.375,16318.41895,21149.80273,9859.407227,10505.40137,9143.732422,13262.5459,10743.49805,8086.16748
A0A0A0MQU4;Q96I15,SCLY,Selenocysteine lyase,22151.86719,21533.18164,22317.71484,20554.02734,21183.22852,19244.36914,6060.525391,6509.85498,5537.22168,7269.127441,7407.163574,6414.905273
A0A0A0MQU6;Q9H2E6,SEMA6A,"Sema domain, transmembrane domain (TM), and cytoplasmic domain, (Semaphorin) 6A, isoform CRA_d;Semaphorin-6A",77855.14844,61111.47656,70703.22656,84889.17188,59989.8125,74450.9375,2915.655762,601.2155762,4992.373047,2384.247314,3508.984375,4714.086914
A0A0A0MQV6;P09038,FGF2,Fibroblast growth factor;Fibroblast growth factor 2,31467.98633,2782.226563,11346.38379,1216.398804,4059.986572,27058.52734,11.76178169,Filtered,Filtered,NaN,Filtered,11.68197632
A0A0A0MQV8,GAPVD1,GTPase-activating protein and VPS9 domain-containing protein 1,NaN,NaN,Filtered,Filtered,NaN,NaN,12716.4082,13158.79492,13060.20313,39107.11719,25129.93945,25619.82422
A0A0A0MQV9;Q9UPS6,SETD1B,Histone-lysine N-methyltransferase;Histone-lysine N-methyltransferase SETD1B,2150.692871,1996.466309,2186.822266,2504.33252,1697.929688,1773.014526,732.7606812,1106.321655,1827.959473,648.9795532,225.8569641,554.7224731
A0A0A0MQW0,MYEF2,Myelin expression factor 2,7385.633301,5926.041992,7063.083008,5937.295898,7071.024414,6787.828125,15094.2666,17553.9043,18936.04297,17271.80078,19590.2207,19460.36133
A0A0A0MQW5;A0A3B3ISL5;A0A5F9ZH67;Q96Q04,LMTK3,Serine/threonine-protein kinase LMTK3,5750.643555,9494.142578,11447.49805,8711.295898,9250.563477,10733.95605,7021.729004,5456.372559,3223.733398,5061.15332,13135.80469,4095.648438
A0A0A0MQX1;Q9HD67,MYO10,Unconventional myosin-X,2819.767822,2358.522461,1852.905273,2783.385254,2167.277588,2870.50293,Filtered,2273.706787,Filtered,Filtered,Filtered,Filtered
A0A0A0MQX7;Q08629,SPOCK1,Testican-1,150.8890381,805.7354736,1809.268677,276.8321838,1047.682495,570.9186401,34942.11328,33034.68359,38277.14453,35571.63281,39286.46875,34122.39063
A0A0A0MQX8;C9JP00;Q86VM6;Q9NR56,MBNL1,Muscleblind-like protein 1;Muscleblind-like protein 1;MBNL1 protein;Muscleblind-like protein 1,3393.84668,13257.97656,2552.961426,3175.931396,2816.500488,2689.179688,1193.382813,Filtered,Filtered,1639.034912,Filtered,3850.578857
A0A0A0MQY7;Q5VU97,CACHD1,VWFA and cache domain-containing protein 1,5528.566406,4410.862793,5658.414551,3847.940918,4494.731445,5274.66748,4061.712646,4809.632813,7470.384766,24932.63281,996.1826172,1802.661743
A0A0A0MQZ2;A0A2R8Y6T2;A0A2R8YDS2;B7ZCA0;Q96PV0,SYNGAP1,Ras/Rap GTPase-activating protein SynGAP (Fragment);Ras/Rap GTPase-activating protein SynGAP;Ras/Rap GTPase-activating protein SynGAP;Ras/Rap GTPase-activating protein SynGAP;Ras/Rap GTPase-activating protein SynGAP,2128.499268,1790.711548,1327.546021,2218.182373,1838.865234,2066.429688,12052.02734,11438.97266,11348.01367,13111.94336,10897.77246,11011.86328
A0A0A0MR02;P45880,VDAC2,Voltage-dependent anion-selective channel protein 2 (Fragment);Voltage-dependent anion-selective channel protein 2,170479.6719,197168.4688,196656.5469,214512.5625,210301.7656,218224.4531,920417.625,958100.8125,1112568.625,982602.4375,898847.375,903959.25
A0A0A0MR05;H3BM50;H3BN58;H3BPT1;H3BPU5;Q9BVC4,MLST8,Target of rapamycin complex subunit LST8;Target of rapamycin complex subunit LST8;Target of rapamycin complex subunit LST8 (Fragment);Target of rapamycin complex subunit LST8;Target of rapamycin complex subunit LST8;Target of rapamycin complex subunit LST8,18493.14648,20760.57617,20814.64063,17641.5957,21912.01953,21588.0332,17102.5625,23006.69336,17789.34766,19081.99023,17679.09961,19948.5293
A0A0A0MR07;F5H5P4;P15498;Q96D37,VAV1,Proto-oncogene vav,1481.022827,Filtered,311.1295166,1353.790161,1260.943115,163.7067566,Filtered,Filtered,Filtered,Filtered,Filtered,Filtered
A0A0A0MR08,USP19,Ubiquitin carboxyl-terminal hydrolase 19 (Fragment),17225.39258,11484.76172,12034.89746,18726.2207,9476.171875,11802.70703,4124.16748,7575.429199,7428.84082,4467.577148,4191.304688,5787.378906
A0A0A0MR09;P43378,PTPN9,Tyrosine-protein phosphatase non-receptor type 9,15549.43359,22669.67578,25813.13281,19262.39258,20995.14063,23709.3457,67853.40625,70830.10156,79255.57031,76015.83594,70282.64063,75240.90625
A0A0A0MR11;A0A0A0MRS1;Q06730,ZNF33A,Zinc finger protein 33A,NaN,1.041265368,2.444672585,Filtered,Filtered,NaN,Filtered,Filtered,0.002609362,Filtered,Filtered,Filtered
